id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|मानवजनित आपदा (Man-made Disasters) का प्राथमिक कारण क्या है?|जलवायु परिवर्तन|मानवीय त्रुटि, लापरवाही या तकनीकी विफलता|टेक्टोनिक प्लेटों की गति|भारी वर्षा|मानवीय त्रुटि, लापरवाही या तकनीकी विफलता|AEC-3_U1_T1.2.2|30
2|आग लगने (Fire) की आपदा के लिए कौन सी तीन चीज़ें (अग्नि त्रिकोण/Fire Triangle) आवश्यक हैं?|पानी, हवा, गर्मी|ईंधन (Fuel), ऊष्मा (Heat), ऑक्सीजन (Oxygen)|मिट्टी, धुआँ, हवा|ठंड, बर्फ, पानी|ईंधन (Fuel), ऊष्मा (Heat), ऑक्सीजन (Oxygen)|AEC-3_U1_T1.2.2.1|30
3|औद्योगिक प्रदूषण (Industrial Pollution) से होने वाली सबसे बड़ी आपदा कौन सी है?|सूखा|रासायनिक रिसाव/गैस रिसाव|भूकंप|बाढ़|रासायनिक रिसाव/गैस रिसाव|AEC-3_U1_T1.2.2.2|30
4|परमाणु आपदा (Nuclear Disaster) में सबसे बड़ा खतरा क्या है?|तेज हवा|विकिरण (Radiation) का रिसाव|केवल बाढ़|केवल आग|विकिरण (Radiation) का रिसाव|AEC-3_U1_T1.2.2.3|30
5|जैविक आपदा (Biological Disasters) में किस कारक का प्रसार शामिल होता है?|रासायनिक गैसें|संक्रामक एजेंट (जैसे वायरस, बैक्टीरिया, कवक)|रेडियोधर्मी सामग्री|ज्वालामुखी लावा|संक्रामक एजेंट (जैसे वायरस, बैक्टीरिया, कवक)|AEC-3_U1_T1.2.2.4|30
6|वायुयान दुर्घटना (Air Accident) का सबसे आम कारण क्या हो सकता है?|केवल मौसम|पायलट की त्रुटि, यांत्रिक विफलता और खराब रखरखाव|केवल भूकंप|केवल बाढ़|पायलट की त्रुटि, यांत्रिक विफलता और खराब रखरखाव|AEC-3_U1_T1.2.2.5.1|30
7|समुद्री दुर्घटना (Sea Accident) में सबसे बड़ा जोखिम क्या है?|जंगल की आग|जहाज़ का डूबना और तेल रिसाव (Oil Spill)|केवल सड़क दुर्घटना|केवल भूस्खलन|जहाज़ का डूबना और तेल रिसाव (Oil Spill)|AEC-3_U1_T1.2.2.5.2|30
8|रेल दुर्घटना (Rail Accident) का एक मुख्य कारण क्या है?|केवल भारी वर्षा|मानवीय त्रुटि, पटरी का टूटना या सिग्नल की विफलता|केवल आग|केवल सूखा|मानवीय त्रुटि, पटरी का टूटना या सिग्नल की विफलता|AEC-3_U1_T1.2.2.5.3|30
9|सड़क दुर्घटना (Road Accident) में दुर्घटना का सबसे प्रमुख मानवीय कारण क्या है?|अच्छी सड़कें|तेज गति, शराब पीकर गाड़ी चलाना और थकान|केवल कम गति|कम यातायात|तेज गति, शराब पीकर गाड़ी चलाना और थकान|AEC-3_U1_T1.2.2.5.4|30
10|इमारतों का गिरना (Building Collapse) किस कारण से हो सकता है?|कम तापमान|खराब निर्माण सामग्री, डिज़ाइन त्रुटि या भूकंप/बाढ़|केवल तूफान|केवल अच्छा डिज़ाइन|खराब निर्माण सामग्री, डिज़ाइन त्रुटि या भूकंप/बाढ़|AEC-3_U1_T1.2.2.6.1|30
11|पुल टूटने (Bridge Collapse) की आपदा किस विफलता से संबंधित है?|केवल मौसम|संरचनात्मक विफलता, अत्यधिक भार या धातु की थकान|केवल कम भार|केवल आग|संरचनात्मक विफलता, अत्यधिक भार या धातु की थकान|AEC-3_U1_T1.2.2.6.2|30
12|युद्ध एवं आतंकवाद (War & Terrorism) का सबसे बड़ा परिणाम क्या है?|शांति|बड़े पैमाने पर मानव जीवन की हानि और सामाजिक विघटन|केवल विकास|केवल व्यापार|बड़े पैमाने पर मानव जीवन की हानि और सामाजिक विघटन|AEC-3_U1_T1.2.2.7|30
13|आग बुझाने के लिए किस तत्व को अग्नि त्रिकोण से हटाना सबसे आम तरीका है?|ईंधन|ऑक्सीजन (Oxygen)|ऊष्मा|पानी|ऑक्सीजन (Oxygen)|AEC-3_U1_T1.2.2.1|30
14|भोपाल गैस त्रासदी (Bhopal Gas Tragedy) में कौन सी विषैली गैस का रिसाव हुआ था?|कार्बन डाइऑक्साइड|मिथाइल आइसोसाइनेट (MIC)|मीथेन|ऑक्सीजन|मिथाइल आइसोसाइनेट (MIC)|AEC-3_U1_T1.2.2.2|30
15|परमाणु आपदा का दीर्घकालिक स्वास्थ्य प्रभाव क्या है?|केवल सामान्य सर्दी|कैंसर, जन्म दोष और आनुवंशिक उत्परिवर्तन|उच्च रक्तचाप|केवल सिरदर्द|कैंसर, जन्म दोष और आनुवंशिक उत्परिवर्तन|AEC-3_U1_T1.2.2.3|30
16|जैविक आपदा की रोकथाम के लिए सबसे प्रभावी उपाय क्या है?|केवल भोजन खाना|टीकाकरण (Vaccination) और सार्वजनिक स्वास्थ्य निगरानी|केवल सोना|केवल पेड़ काटना|टीकाकरण (Vaccination) और सार्वजनिक स्वास्थ्य निगरानी|AEC-3_U1_T1.2.2.4|30
17|वायुयान दुर्घटना के बाद 'ब्लैक बॉक्स' (Black Box) क्यों महत्वपूर्ण है?|केवल मनोरंजन|दुर्घटना के कारणों की पहचान के लिए उड़ान डेटा रिकॉर्ड करना|केवल गुप्त दस्तावेज़|केवल रंगीन बॉक्स|दुर्घटना के कारणों की पहचान के लिए उड़ान डेटा रिकॉर्ड करना|AEC-3_U1_T1.2.2.5.1|30
18|समुद्री दुर्घटनाओं को रोकने के लिए 'नेविगेशन' (Navigation) में किस तकनीक का उपयोग किया जाता है?|केवल आग|जीपीएस और रडार प्रणाली|केवल रस्सी|केवल मोमबत्ती|जीपीएस और रडार प्रणाली|AEC-3_U1_T1.2.2.5.2|30
19|रेल दुर्घटना के दौरान यात्रियों के लिए 'सुरक्षा' का सबसे महत्वपूर्ण पहलू क्या है?|केवल सोना|बाहर न निकलना, आपातकालीन उपकरणों का उपयोग करना और निर्देशों का पालन करना|ट्रेन से कूदना|केवल भोजन करना|बाहर न निकलना, आपातकालीन उपकरणों का उपयोग करना और निर्देशों का पालन करना|AEC-3_U1_T1.2.2.5.3|30
20|सड़क दुर्घटनाओं को कम करने के लिए कौन सा 'सुरक्षा उपकरण' सबसे महत्वपूर्ण है?|केवल छाता|सीट बेल्ट (Seat Belt) और एयरबैग|केवल टोपी|केवल चश्मा|सीट बेल्ट (Seat Belt) और एयरबैग|AEC-3_U1_T1.2.2.5.4|30
21|इमारतों के गिरने से पहले 'संरचनात्मक संकेत' क्या हो सकते हैं?|केवल नया पेंट|दीवारों में बड़ी दरारें, झुकते हुए बीम और असामान्य आवाज़ें|केवल फूल|केवल अच्छा तापमान|दीवारों में बड़ी दरारें, झुकते हुए बीम और असामान्य आवाज़ें|AEC-3_U1_T1.2.2.6.1|30
22|पुल टूटने के कारणों में 'अनुरक्षण की कमी' (Lack of Maintenance) का क्या योगदान है?|यह पुल को मजबूत करता है|संरचना की ताकत कम करता है और धातु को जंग लगने देता है|यह अनावश्यक है|केवल सजावट|संरचना की ताकत कम करता है और धातु को जंग लगने देता है|AEC-3_U1_T1.2.2.6.2|30
23|आतंकवाद के बाद 'सामुदायिक पुनर्वास' (Community Rehabilitation) का लक्ष्य क्या है?|केवल गुस्सा|सामान्य सामाजिक व्यवस्था और सुरक्षा की भावना बहाल करना|केवल नया घर|केवल पुराना घर|सामान्य सामाजिक व्यवस्था और सुरक्षा की भावना बहाल करना|AEC-3_U1_T1.2.2.7|30
24|आग लगने की स्थिति में 'सबसे पहले' क्या करना चाहिए?|केवल पानी डालना|आग चेतावनी प्रणाली (Alarm) को सक्रिय करना और बाहर निकलना|केवल खड़े रहना|केवल खाना बनाना|आग चेतावनी प्रणाली (Alarm) को सक्रिय करना और बाहर निकलना|AEC-3_U1_T1.2.2.1|30
25|औद्योगिक प्रदूषण को कम करने के लिए कौन सा उपाय आवश्यक है?|केवल अधिक उत्पादन|कठोर उत्सर्जन मानक और अपशिष्ट उपचार संयंत्र|केवल हवा में छोड़ना|केवल पानी में डालना|कठोर उत्सर्जन मानक और अपशिष्ट उपचार संयंत्र|AEC-3_U1_T1.2.2.2|30
26|परमाणु आपदा के दौरान 'आयोडीन गोलियाँ' (Iodine Tablets) क्यों आवश्यक हैं?|केवल भूख मिटाने के लिए|थायरॉइड ग्रंथि को रेडियोधर्मी आयोडीन अवशोषित करने से रोकने के लिए|केवल प्यास मिटाने के लिए|केवल दर्द कम करने के लिए|थायरॉइड ग्रंथि को रेडियोधर्मी आयोडीन अवशोषित करने से रोकने के लिए|AEC-3_U1_T1.2.2.3|30
27|जैविक आपदा के दौरान 'आइसोलेशन' (Isolation) का क्या उद्देश्य है?|केवल छुट्टी लेना|संक्रमित व्यक्ति से स्वस्थ व्यक्ति में एजेंट का प्रसार रोकना|केवल अकेले रहना|केवल काम करना|संक्रमित व्यक्ति से स्वस्थ व्यक्ति में एजेंट का प्रसार रोकना|AEC-3_U1_T1.2.2.4|30
28|वायुयान दुर्घटनाओं को रोकने के लिए 'एटीसी' (ATC) का क्या महत्व है?|केवल मनोरंजन|वायु यातायात नियंत्रण (Air Traffic Control) और सुरक्षित दूरी बनाए रखना|केवल खाना बनाना|केवल सोना|वायु यातायात नियंत्रण (Air Traffic Control) और सुरक्षित दूरी बनाए रखना|AEC-3_U1_T1.2.2.5.1|30
29|समुद्री दुर्घटना में 'तेल रिसाव' (Oil Spill) का क्या परिणाम होता है?|केवल पानी साफ|समुद्री पारिस्थितिकी तंत्र और तटीय क्षेत्रों को गंभीर नुकसान|केवल हवा साफ|केवल मिट्टी साफ|समुद्री पारिस्थितिकी तंत्र और तटीय क्षेत्रों को गंभीर नुकसान|AEC-3_U1_T1.2.2.5.2|30
30|रेल दुर्घटना के 'शमन' (Mitigation) के लिए कौन सा तकनीकी उपाय आवश्यक है?|केवल तेज गति|स्वचालित ट्रेन नियंत्रण प्रणाली (Automatic Train Control)|केवल कम रखरखाव|केवल पुराना सिग्नल|स्वचालित ट्रेन नियंत्रण प्रणाली (Automatic Train Control)|AEC-3_U1_T1.2.2.5.3|30
31|सड़क दुर्घटनाओं को कम करने के लिए 'यातायात नियम' (Traffic Rules) का पालन क्यों आवश्यक है?|यह अनावश्यक है|सुरक्षा सुनिश्चित करने और अव्यवस्था को रोकने के लिए|केवल चालान काटने के लिए|केवल सजावट के लिए|सुरक्षा सुनिश्चित करने और अव्यवस्था को रोकने के लिए|AEC-3_U1_T1.2.2.5.4|30
