निश्चित रूप से। आपके अनुरोध के अनुसार, मैं "आपदा तैयारी: अवधारणा और प्रकृति" (Disaster Preparedness: Concept and Nature) पर 50 बहुविकल्पीय प्रश्न (MCQs) CSV फॉर्मेट में तैयार कर रहा हूँ।

id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|आपदा तैयारी (Disaster Preparedness) की अवधारणा का प्राथमिक उद्देश्य क्या है?|केवल आपदा के कारण की पहचान करना|आपदा की स्थिति में प्रभावी और त्वरित प्रतिक्रिया सुनिश्चित करना|आपदा को पूरी तरह से समाप्त करना|केवल पुनर्निर्माण के लिए धन जुटाना|आपदा की स्थिति में प्रभावी और त्वरित प्रतिक्रिया सुनिश्चित करना|AEC-3_U3_T3.1.1|30
2|आपदा तैयारी का संबंध आपदा प्रबंधन चक्र के किस चरण से है?|शमन (Mitigation)|प्रतिक्रिया (Response)|आपदा से पहले (Before the Disaster)|पुनर्प्राप्ति (Recovery)|आपदा से पहले (Before the Disaster)|AEC-3_U3_T3.1.1|30
3|आपदा तैयारी किस प्रकार की प्रक्रिया है?|अल्पकालिक और आकस्मिक|निरंतर और चक्रीय प्रक्रिया|केवल प्रतिक्रिया-उन्मुख|केवल एक ही बार की गतिविधि|निरंतर और चक्रीय प्रक्रिया|AEC-3_U3_T3.1.1|30
4|आपदा तैयारी की प्रकृति में कौन सा तत्व शामिल है?|केवल नुकसान की गणना|खतरे के प्रति समुदाय की भेद्यता और जोखिम को कम करना|आपदा को पूरी तरह से अनदेखा करना|केवल कानून तोड़ना|खतरे के प्रति समुदाय की भेद्यता और जोखिम को कम करना|AEC-3_U3_T3.1.1|30
5|आपदा तैयारी का एक अनिवार्य तत्व क्या है?|केवल गपशप करना|शुरुआती चेतावनी प्रणाली (Early Warning Systems) का विकास और सुधार|केवल औद्योगिक लाभ|केवल मनोरंजन|शुरुआती चेतावनी प्रणाली (Early Warning Systems) का विकास और सुधार|AEC-3_U3_T3.1.1|30
6|आपदा तैयारी योजना (Preparedness Plan) किसे लक्षित करती है?|केवल सरकार|समुदाय, परिवार, और संस्थान|केवल सेना|केवल निजी उद्योग|समुदाय, परिवार, और संस्थान|AEC-3_U3_T3.1.1|30
7|आपदा तैयारी में 'निकासी मार्ग' (Evacuation Route) का निर्धारण क्यों महत्वपूर्ण है?|केवल सजावट|खतरे की स्थिति में लोगों को सुरक्षित स्थानों पर पहुँचाना|केवल भीड़ बढ़ाना|केवल कानून तोड़ना|खतरे की स्थिति में लोगों को सुरक्षित स्थानों पर पहुँचाना|AEC-3_U3_T3.1.1|30
8|आपदा तैयारी की अवधारणा में 'क्षमता निर्माण' (Capacity Building) का क्या अर्थ है?|केवल बिल्डिंग बनाना|समुदाय की अपनी आपदाओं से निपटने की शक्ति और संसाधनों को बढ़ाना|केवल कानून बनाना|केवल पैसा देना|समुदाय की अपनी आपदाओं से निपटने की शक्ति और संसाधनों को बढ़ाना|AEC-3_U3_T3.1.1|30
9|आपदा तैयारी में 'मॉक ड्रिल' (Mock Drills) का क्या उद्देश्य है?|केवल मनोरंजन|प्रतिक्रिया योजनाओं का अभ्यास करना और कमियों की पहचान करना|केवल समय बर्बाद करना|वास्तविक प्रतिक्रिया को रोकना|प्रतिक्रिया योजनाओं का अभ्यास करना और कमियों की पहचान करना|AEC-3_U3_T3.1.1|30
10|आपदा तैयारी में 'प्रशिक्षण और शिक्षा' (Training and Education) क्यों आवश्यक है?|यह अनावश्यक है|सुरक्षा उपायों के बारे में जागरूकता बढ़ाना और आवश्यक कौशल प्रदान करना|केवल गुस्सा दिखाना|केवल सोने के लिए|सुरक्षा उपायों के बारे में जागरूकता बढ़ाना और आवश्यक कौशल प्रदान करना|AEC-3_U3_T3.1.1|30
