id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'यशोधरा' खंड काव्य के रचयिता कौन हैं?|जयशंकर प्रसाद|सूर्यकांत त्रिपाठी 'निराला'|मैथिलीशरण गुप्त|सुमित्रानंदन पंत|मैथिलीशरण गुप्त|MDC-3_U2_T2.1|30
2|'यशोधरा' का मुख्य विषय (Theme) क्या है?|सीता का विलाप|शकुंतला का प्रेम|गौतम बुद्ध के महाभिनिष्क्रमण के बाद यशोधरा की मनोदशा|राधा का विरह|गौतम बुद्ध के महाभिनिष्क्रमण के बाद यशोधरा की मनोदशा|MDC-3_U2_T2.1|30
3|यशोधरा खंड काव्य का प्रकाशन वर्ष क्या है?|1925|1933|1940|1951|1933|MDC-3_U2_T2.1|30
4|यशोधरा में 'संतान' (राहुल) किस बात का प्रतीक है?|केवल प्रेम|यशोधरा के लिए जीवन का आधार और कर्तव्य बोध|बुद्ध के त्याग|ज्ञान की प्राप्ति|यशोधरा के लिए जीवन का आधार और कर्तव्य बोध|MDC-3_U2_T2.1|30
5|यशोधरा अपनी किस बात को 'अभागिनी' कहकर व्यक्त करती है?|पिता का प्रेम न मिलना|पति (सिद्धार्थ) का बिना बताए चुपचाप चले जाना|धन की कमी|संतान का न होना|पति (सिद्धार्थ) का बिना बताए चुपचाप चले जाना|MDC-3_U2_T2.1|30
6|यशोधरा का सबसे प्रसिद्ध उद्गार (Statement) कौन सा है?|"मैं अबला हूँ"|"सखि वे मुझसे कहकर जाते"|"यह राहुल है"|"मुझे न छोड़ो"|"सखि वे मुझसे कहकर जाते"|MDC-3_U2_T2.1|30
7|यशोधरा 'राहुल' को देखकर किस बात का संतोष करती है?|उसे ज्ञान प्राप्त है|पति की निशानी (अंश)|वह महल का उत्तराधिकारी है|वह बहुत सुंदर है|पति की निशानी (अंश)|MDC-3_U2_T2.1|30
8|यशोधरा 'राहुल' को किस रूप में पालने का संकल्प लेती है?|केवल पुत्र|पिता के अभाव को पूरा करने वाला योद्धा|केवल ज्ञानी|एक त्यागी|पिता के अभाव को पूरा करने वाला योद्धा|MDC-3_U2_T2.1|30
9|यशोधरा के अनुसार, सिद्धार्थ का 'चुपचाप' जाना किस बात का अनादर था?|महल का|स्त्रीत्व का सम्मान और प्रेम पर विश्वास|उसके पुत्र का|राजा का|स्त्रीत्व का सम्मान और प्रेम पर विश्वास|MDC-3_U2_T2.1|30
10|'सखि वे मुझसे कहकर जाते' में 'वे' शब्द किसके लिए प्रयुक्त हुआ है?|राजा शुद्धोदन|नंद|राहुल|सिद्धार्थ (गौतम बुद्ध)|सिद्धार्थ (गौतम बुद्ध)|MDC-3_U2_T2.1|30
