id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|प्रागैतिहासिक भारत के संदर्भ में, 'पाषाण काल' (Stone Age) का तात्पर्य क्या है?|वह काल जब मानव ने केवल पत्थरों के औजारों का उपयोग किया|वह काल जब मानव ने धातु का उपयोग शुरू किया|वह काल जब कृषि की शुरुआत हुई|वह काल जब लिखित साक्ष्य उपलब्ध थे|वह काल जब मानव ने केवल पत्थरों के औजारों का उपयोग किया|MIC-3_U1_T1.2|30
2|पुरापाषाण काल (Paleolithic Period) में मानव का मुख्य व्यवसाय क्या था?|पशुपालन और कृषि|शिकार और खाद्य संग्रहण (Hunting and Gathering)|व्यापार और हस्तशिल्प|स्थायी निवास और लेखन|शिकार और खाद्य संग्रहण (Hunting and Gathering)|MIC-3_U1_T1.2|30
3|पुरापाषाण काल के औजार किस प्रकार के होते थे?|छोटे, नुकीले माइक्रोलिथ|पॉलिश किए गए पत्थर के औजार|अनगढ़े और बड़े पत्थर के औजार (Hand Axes, Cleavers)|तांबा और पत्थर के मिश्रण वाले औजार|अनगढ़े और बड़े पत्थर के औजार (Hand Axes, Cleavers)|MIC-3_U1_T1.2|30
4|भारत में पुरापाषाण काल के प्रमुख स्थल कहाँ पाए गए हैं?|सिंधु घाटी के मैदान|सोहन घाटी (पंजाब), बेलन घाटी (UP) और नर्मदा घाटी|गंगा के मैदान|पूर्वी तट के बंदरगाह|सोहन घाटी (पंजाब), बेलन घाटी (UP) और नर्मदा घाटी|MIC-3_U1_T1.2|30
5|होमो सेपियन्स (आधुनिक मानव) का उदय किस काल में हुआ माना जाता है?|निम्न पुरापाषाण काल|मध्य पुरापाषाण काल|उच्च पुरापाषाण काल|मध्यपाषाण काल|उच्च पुरापाषाण काल|MIC-3_U1_T1.2|30
6|पुरापाषाण काल के लोगों का सबसे महत्वपूर्ण आविष्कार क्या था, जिसने उनके जीवन को बदल दिया?|पहिया|आग का नियंत्रण और उपयोग|धातु का उपयोग|कृषि का ज्ञान|आग का नियंत्रण और उपयोग|MIC-3_U1_T1.2|30
7|मध्यपाषाण काल (Mesolithic Period) की मुख्य विशेषता क्या है?|केवल बड़े पत्थर के औजारों का उपयोग|माइक्रोलिथ (Micro-liths) कहे जाने वाले छोटे पत्थर के औजारों का विकास|पूर्णतः शहरी जीवन|धातु की खोज|माइक्रोलिथ (Micro-liths) कहे जाने वाले छोटे पत्थर के औजारों का विकास|MIC-3_U1_T1.2|30
8|मध्यपाषाण काल में मानव का आहार किस कारण अधिक विविध हो गया?|कृषि का पूर्ण विकास|शिकार, मछली पकड़ना और खाद्य संग्रहण का उन्नत होना|केवल शाकाहारी भोजन पर निर्भरता|धातु के औजारों का उपयोग|शिकार, मछली पकड़ना और खाद्य संग्रहण का उन्नत होना|MIC-3_U1_T1.2|30
9|भारत में पशुपालन (Animal Husbandry) के शुरुआती साक्ष्य किस काल से प्राप्त होते हैं?|पुरापाषाण काल|मध्यपाषाण काल|नवपाषाण काल|ताम्रपाषाण काल|मध्यपाषाण काल|MIC-3_U1_T1.2|30
10|मध्यपाषाण काल के प्रमुख स्थल 'बागोर' (राजस्थान) और 'आदमगढ़' (मध्य प्रदेश) किस लिए प्रसिद्ध हैं?|लिखित अभिलेख|पशुपालन के सबसे पुराने साक्ष्य|केवल शहरी नियोजन|सबसे बड़े तांबे के भंडार|पशुपालन के सबसे पुराने साक्ष्य|MIC-3_U1_T1.2|30
11|मध्यपाषाण काल की कला के महत्वपूर्ण साक्ष्य कहाँ पाए गए हैं?|हड़प्पा की मुहरें|भीमबेटका (मध्य प्रदेश) की गुफा चित्रकला|अजंता की गुफाएँ|बादामी के मंदिर|भीमबेटका (मध्य प्रदेश) की गुफा चित्रकला|MIC-3_U1_T1.2|30
12|नवपाषाण काल (Neolithic Period) की सबसे महत्वपूर्ण उपलब्धि क्या है?|आग की खोज|स्थायी कृषि की शुरुआत और सामुदायिक जीवन|पहिए का आविष्कार|केवल शिकार करना|स्थायी कृषि की शुरुआत और सामुदायिक जीवन|MIC-3_U1_T1.2|30
13|किस काल को 'नवपाषाण क्रांति' (Neolithic Revolution) कहा जाता है?|उच्च पुरापाषाण काल|मध्यपाषाण काल|नवपाषाण काल|ताम्रपाषाण काल|नवपाषाण काल|MIC-3_U1_T1.2|30
14|नवपाषाण काल के औजार किस प्रकार के होते थे?|अनगढ़े पत्थर|पॉलिश किए हुए और नुकीले पत्थर के औजार|तांबे के औजार|केवल हड्डियों के औजार|पॉलिश किए हुए और नुकीले पत्थर के औजार|MIC-3_U1_T1.2|30
15|बुर्जहोम (कश्मीर) नवपाषाण स्थल किस लिए प्रसिद्ध है?|मिट्टी के बर्तन|गड्ढे वाले आवास (Pit-Dwellings) और मालिक के साथ कुत्ते को दफनाना|तांबे की खदानें|विशाल शिलालेख|गड्ढे वाले आवास (Pit-Dwellings) और मालिक के साथ कुत्ते को दफनाना|MIC-3_U1_T1.2|30
16|दक्षिण भारत में नवपाषाण काल के प्रमुख साक्ष्य किस रूप में मिलते हैं?|केवल शहरों के अवशेष|राख के टीले (Ash Mounds) जो पशुओं के बाड़े को जलाने से बने थे|लिखित अभिलेख|तांबे की मूर्तियाँ|राख के टीले (Ash Mounds) जो पशुओं के बाड़े को जलाने से बने थे|MIC-3_U1_T1.2|30
17|मेहरगढ़ (पाकिस्तान) नवपाषाण स्थल किस प्राचीन फसल के साक्ष्य के लिए जाना जाता है?|धान|गेहूँ और जौ|कपास|चाय|गेहूँ और जौ|MIC-3_U1_T1.2|30
18|ताम्रपाषाण काल (Chalcolithic Period) में मानव ने किस धातु का सर्वप्रथम प्रयोग करना शुरू किया?|लोहा|कांसा|तांबा|सोना|तांबा|MIC-3_U1_T1.2|30
19|ताम्रपाषाण काल की बस्तियाँ मुख्य रूप से कहाँ विकसित हुईं?|गंगा के मैदान|नदी घाटियाँ और दक्कन का पठार|हिमालय की चोटियाँ|केवल तटीय क्षेत्र|नदी घाटियाँ और दक्कन का पठार|MIC-3_U1_T1.2|30
20|ताम्रपाषाण काल के लोगों का मुख्य व्यवसाय क्या था?|शिकार और केवल भोजन संग्रहण|केवल शहरों का निर्माण|तांबे के औजारों के साथ-साथ कृषि और पशुपालन|पूरी तरह से लेखन और व्यापार|तांबे के औजारों के साथ-साथ कृषि और पशुपालन|MIC-3_U1_T1.2|30
21|ताम्रपाषाण काल की सबसे प्रमुख संस्कृति (Culture) कौन सी थी?|सोहन संस्कृति|मालवा संस्कृति|वैदिक संस्कृति|मौर्य संस्कृति|मालवा संस्कृति|MIC-3_U1_T1.2|30
22|ताम्रपाषाण काल के किस स्थल से सबसे अधिक संख्या में तांबे के औजार प्राप्त हुए हैं?|बुर्जहोम|गणेश्वर (राजस्थान)|मेहरगढ़|इनामगांव|गणेश्वर (राजस्थान)|MIC-3_U1_T1.2|30
23|ताम्रपाषाण काल के स्थलों पर पाए जाने वाले विशिष्ट प्रकार के मृदभांड (Pottery) कौन से थे?|उत्तरी काले चमकीले मृदभांड (NBPW)|गेरू रंग के मृदभांड (Ochre Coloured Pottery - OCP)|पॉलिश किए हुए मृदभांड|हड़प्पा के बर्तन|गेरू रंग के मृदभांड (Ochre Coloured Pottery - OCP)|MIC-3_U1_T1.2|30
24|ताम्रपाषाण काल की 'आहार संस्कृति' (Ahar Culture) किस भारतीय राज्य में विकसित हुई थी?|पंजाब|गुजरात|राजस्थान|बिहार|राजस्थान|MIC-3_U1_T1.2|30
25|पुरापाषाण काल में मानव अपना भोजन किस प्रकार प्राप्त करता था?|कृषि करके|शिकार करके और जड़ों व फलों को इकट्ठा करके|केवल मछली पकड़कर|व्यापार करके|शिकार करके और जड़ों व फलों को इकट्ठा करके|MIC-3_U1_T1.2|30
26|'बेलन घाटी' (उत्तर प्रदेश) किस पाषाण काल के तीनों चरणों (निम्न, मध्य, उच्च पुरापाषाण) के साक्ष्य प्रस्तुत करती है?|केवल मध्यपाषाण|पुरापाषाण काल|नवपाषाण काल|ताम्रपाषाण काल|पुरापाषाण काल|MIC-3_U1_T1.2|30
27|मध्यपाषाण काल में 'माइक्रोलिथ' (Microliths) औजारों का उपयोग किस कार्य के लिए किया जाता था?|केवल मकान बनाना|तीर-कमान और अन्य उपकरणों में नुकीले बिंदु के रूप में|खेती के लिए|धातु गलाने के लिए|तीर-कमान और अन्य उपकरणों में नुकीले बिंदु के रूप में|MIC-3_U1_T1.2|30
28|भीमबेटका गुफाओं में बने चित्र मुख्य रूप से किन विषयों से संबंधित हैं?|धार्मिक अनुष्ठान|शिकार, नृत्य और पशुओं के चित्र|राजाओं के युद्ध|आकाशीय पिंड|शिकार, नृत्य और पशुओं के चित्र|MIC-3_U1_T1.2|30
29|नवपाषाण काल में 'घर्षण और पॉलिश' (Grinding and Polishing) की तकनीक का उपयोग किसमें किया जाता था?|सिर्फ घरों की दीवारों पर|पत्थर के औजारों को अधिक प्रभावी बनाने के लिए|मृदभांड बनाने के लिए|तांबे के औजारों को बनाने के लिए|पत्थर के औजारों को अधिक प्रभावी बनाने के लिए|MIC-3_U1_T1.2|30
