id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|समष्टि अर्थशास्त्र में अर्थव्यवस्था को कैसे देखा जाता है?|एक व्यक्ति के रूप में|एक समग्र इकाई के रूप में|केवल एक कंपनी के रूप में|केवल वित्तीय बाजार के रूप में|एक समग्र इकाई के रूप में|MJC-3_U1_T1.2|30
2|समष्टि अर्थशास्त्र किसका अध्ययन नहीं करता है?|कुल उत्पादन|राष्ट्रीय आय|एक व्यक्तिगत उपभोक्ता की मांग|सामान्य मूल्य स्तर|एक व्यक्तिगत उपभोक्ता की मांग|MJC-3_U1_T1.2|30
3|समष्टि अर्थशास्त्र की पद्धति में किस विश्लेषण पर जोर दिया जाता है?|व्यक्तिगत विश्लेषण|आंशिक विश्लेषण|समग्र विश्लेषण|सीमांत विश्लेषण|समग्र विश्लेषण|MJC-3_U1_T1.2|30
4|समष्टि अर्थशास्त्र का मुख्य उद्देश्य क्या है?|केवल व्यक्तिगत लाभ अधिकतम करना|केवल एक बाजार का विश्लेषण करना|आर्थिक समस्याओं को हल करने के लिए नीतियाँ तैयार करना|किसी विशिष्ट क्षेत्र का विकास करना|आर्थिक समस्याओं को हल करने के लिए नीतियाँ तैयार करना|MJC-3_U1_T1.2|30
5|निम्न में से कौन सा समष्टि अर्थशास्त्र का एक प्रमुख घटक है?|एक उपभोक्ता की बचत|एक फर्म का निवेश|कुल खपत (Total Consumption)|एक वस्तु की कीमत|कुल खपत (Total Consumption)|MJC-3_U1_T1.2|30
6|समष्टि अर्थशास्त्र में 'उत्पादन' का सबसे महत्वपूर्ण माप क्या है?|राष्ट्रीय आय|सकल घरेलू उत्पाद (GDP)|उपभोग व्यय|सामान्य मूल्य स्तर|सकल घरेलू उत्पाद (GDP)|MJC-3_U1_T1.2|30
7|समष्टि अर्थशास्त्र में 'आय' का सबसे महत्वपूर्ण माप क्या है?|राष्ट्रीय आय|कुल उत्पादन|सकल घरेलू उत्पाद (GDP)|मुद्रास्फीति दर|राष्ट्रीय आय|MJC-3_U1_T1.2|30
8|'सामान्य मूल्य स्तर' बढ़ने का क्या अर्थ है?|वस्तुओं की गुणवत्ता में सुधार|मुद्रा का अवमूल्यन|मुद्रास्फीति (Inflation)|अपस्फीति (Deflation)|मुद्रास्फीति (Inflation)|MJC-3_U1_T1.2|30
9|'बेरोज़गारी दर' किसका आकलन करने में मदद करती है?|देश की आर्थिक सेहत|एक कंपनी का लाभ|विदेशी व्यापार संतुलन|ब्याज दर की स्थिरता|देश की आर्थिक सेहत|MJC-3_U1_T1.2|30
10|चक्रीय आय प्रवाह का कौन सा मॉडल सबसे सरल है?|चार-क्षेत्रीय मॉडल|दो-क्षेत्रीय मॉडल|तीन-क्षेत्रीय मॉडल|खुला अर्थव्यवस्था मॉडल|दो-क्षेत्रीय मॉडल|MJC-3_U1_T1.2|30
11|दो-क्षेत्रीय चक्रीय प्रवाह मॉडल के दो क्षेत्र कौन से हैं?|सरकार और विदेशी क्षेत्र|बैंक और फर्म|परिवार और फर्म|बैंक और परिवार|परिवार और फर्म|MJC-3_U1_T1.2|30
12|दो-क्षेत्रीय मॉडल में 'वास्तविक प्रवाह' क्या दर्शाता है?|पैसे का हस्तांतरण|वस्तुओं और सेवाओं का आदान-प्रदान|टैक्स और सब्सिडी|बचत और निवेश|वस्तुओं और सेवाओं का आदान-प्रदान|MJC-3_U1_T1.2|30
