id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|जनसंपर्क (Public Relations - PR) का मुख्य उद्देश्य क्या है?|केवल उत्पाद बेचना|संगठन और उसके लक्षित दर्शकों के बीच एक सकारात्मक और पारस्परिक रूप से लाभकारी संबंध स्थापित करना|केवल नकारात्मक खबरों को छुपाना|कर्मचारियों को वेतन देना|संगठन और उसके लक्षित दर्शकों के बीच एक सकारात्मक और पारस्परिक रूप से लाभकारी संबंध स्थापित करना|SEC-3_U3_T3.8|30
2|जनसंपर्क का कौन सा कार्य संगठन की 'छवि' (Image) और 'पहचान' (Identity) के निर्माण और रखरखाव से संबंधित है?|वित्तीय रिपोर्टिंग|कॉर्पोरेट इमेज बिल्डिंग और ब्रांड प्रबंधन|उत्पादन की गुणवत्ता नियंत्रण|केवल विज्ञापन|कॉर्पोरेट इमेज बिल्डिंग और ब्रांड प्रबंधन|SEC-3_U3_T3.8|30
3|संकट प्रबंधन (Crisis Management) जनसंपर्क का एक महत्वपूर्ण कार्य क्यों है?|यह सुनिश्चित करने के लिए कि संकट कभी न आए|संकट के दौरान संगठन की प्रतिष्ठा की रक्षा करना और क्षति को कम करना|केवल अधिकारियों को छुट्टी देना|मीडिया से बात करने से मना करना|संकट के दौरान संगठन की प्रतिष्ठा की रक्षा करना और क्षति को कम करना|SEC-3_U3_T3.8|30
4|मीडिया संबंध (Media Relations) जनसंपर्क की एक आवश्यक क्रिया क्यों है?|पत्रकारों को रिश्वत देने के लिए|मीडिया आउटलेट्स के साथ सकारात्मक संबंध बनाकर मुफ्त प्रचार (Free Publicity) प्राप्त करना|केवल सशुल्क विज्ञापन प्रकाशित करना|इंटरनेट बंद कर देना|मीडिया आउटलेट्स के साथ सकारात्मक संबंध बनाकर मुफ्त प्रचार (Free Publicity) प्राप्त करना|SEC-3_U3_T3.8|30
5|जनसंपर्क में 'प्रेस विज्ञप्ति' (Press Release) का प्राथमिक उद्देश्य क्या है?|गोपनीय जानकारी लीक करना|मीडिया को संगठन से संबंधित समाचारों की जानकारी देना|व्यक्तिगत शिकायतें दर्ज करना|पुरानी फाइलों को नष्ट करना|मीडिया को संगठन से संबंधित समाचारों की जानकारी देना|SEC-3_U3_T3.8|30
6|जनसंपर्क में 'लोबीइंग' (Lobbying) का क्या कार्य है?|सार्वजनिक सड़कों पर प्रदर्शन करना|सरकारी नीति-निर्माताओं और विधायी निकायों को प्रभावित करना|केवल ग्राहकों को उत्पाद बेचना|अपने प्रतिस्पर्धियों को धमकाना|सरकारी नीति-निर्माताओं और विधायी निकायों को प्रभावित करना|SEC-3_U3_T3.8|30
7|CS R (Corporate Social Responsibility) गतिविधियों को संचालित करना किस जनसंपर्क कार्य का हिस्सा है?|कर्मचारी संबंध|सार्वजनिक मामले (Public Affairs) और सामुदायिक संबंध|शेयरधारक संबंध|विज्ञापन|सार्वजनिक मामले (Public Affairs) और सामुदायिक संबंध|SEC-3_U3_T3.8|30
8|किस प्रकार के जनसंपर्क में निवेशकों और वित्तीय विश्लेषकों के साथ संचार शामिल है?|श्रम संबंध (Labour Relations)|वित्तीय जनसंपर्क (Financial PR)|सरकारी जनसंपर्क|उत्पाद जनसंपर्क|वित्तीय जनसंपर्क (Financial PR)|SEC-3_U3_T3.8|30
9|जनसंपर्क गतिविधियों को अक्सर 'बिना भुगतान वाला' (Unpaid) प्रचार क्यों कहा जाता है?|क्योंकि मीडिया संगठन इसके लिए कभी पैसे नहीं लेते|क्योंकि यह सीधे विज्ञापन नहीं है, बल्कि विश्वसनीय माध्यमों से प्राप्त 'कमाई गई मीडिया' (Earned Media) है|क्योंकि यह बहुत सस्ता है|क्योंकि यह केवल अफवाहों पर आधारित है|क्योंकि यह सीधे विज्ञापन नहीं है, बल्कि विश्वसनीय माध्यमों से प्राप्त 'कमाई गई मीडिया' (Earned Media) है|SEC-3_U3_T3.8|30
10|'हाउस जर्नल' (House Journal) या 'न्यूज़लेटर' का उद्देश्य क्या है?|केवल ग्राहकों को परेशान करना|संगठन के कर्मचारियों या अन्य हितधारकों के साथ आंतरिक संचार बनाए रखना|सरकारी दस्तावेज़ प्रकाशित करना|शेयर बाज़ार की भविष्यवाणी करना|संगठन के कर्मचारियों या अन्य हितधारकों के साथ आंतरिक संचार बनाए रखना|SEC-3_U3_T3.8|30
11|जनसंपर्क का कौन सा कार्य संगठन के उत्पादों या सेवाओं को बढ़ावा देने के लिए मीडिया प्लेसमेंट का उपयोग करता है?|निवेशक संबंध|उत्पाद जनसंपर्क (Product PR)|कर्मचारी संबंध|सरकारी संबंध|उत्पाद जनसंपर्क (Product PR)|SEC-3_U3_T3.8|30
12|'स्पॉन्सरशिप' (Sponsorship) जनसंपर्क में कैसे मदद करती है?|यह एक कानूनी प्रक्रिया है|यह संगठन को सकारात्मक सार्वजनिक प्रदर्शन और जुड़ाव प्रदान करती है|यह केवल पैसे खर्च करने का एक तरीका है|यह एक आंतरिक लेखा परीक्षा है|यह संगठन को सकारात्मक सार्वजनिक प्रदर्शन और जुड़ाव प्रदान करती है|SEC-3_U3_T3.8|30
13|जनसंपर्क में 'हितधारक' (Stakeholders) कौन होते हैं?|केवल सीईओ|वे सभी व्यक्ति या समूह जो संगठन के निर्णयों से प्रभावित हो सकते हैं|केवल मीडियाकर्मी|केवल शेयर बेचने वाले|वे सभी व्यक्ति या समूह जो संगठन के निर्णयों से प्रभावित हो सकते हैं|SEC-3_U3_T3.8|30
14|जनसंपर्क का 'अनुसंधान' (Research) कार्य क्यों महत्वपूर्ण है?|केवल समय बर्बाद करने के लिए|लक्षित दर्शकों, जनमत और संचार प्रभावशीलता को समझने के लिए|सिर्फ कागज़ भरने के लिए|प्रतिस्पर्धियों की व्यक्तिगत जासूसी के लिए|लक्षित दर्शकों, जनमत और संचार प्रभावशीलता को समझने के लिए|SEC-3_U3_T3.8|30
15|एक जनसंपर्क पेशेवर को किस कौशल में उत्कृष्ट होना चाहिए?|केवल गणितीय विश्लेषण|उत्कृष्ट लेखन, संचार और संबंध-निर्माण कौशल|केवल मशीनों की मरम्मत|खाना बनाना|उत्कृष्ट लेखन, संचार और संबंध-निर्माण कौशल|SEC-3_U3_T3.8|30
16|संकट के समय जनसंपर्क टीम का पहला कदम क्या होना चाहिए?|झूठ बोलना|सार्वजनिक रूप से भाग जाना|तथ्यों को इकट्ठा करना और एक संचार योजना विकसित करना|किसी को भी जानकारी देने से मना करना|तथ्यों को इकट्ठा करना और एक संचार योजना विकसित करना|SEC-3_U3_T3.8|30
17|'सोशल मीडिया' (Social Media) जनसंपर्क का एक महत्वपूर्ण उपकरण क्यों है?|यह केवल मनोरंजन का साधन है|यह सीधे और त्वरित रूप से दर्शकों से जुड़ने और जनमत की निगरानी करने की अनुमति देता है|यह केवल विज्ञापन का स्थान है|यह कर्मचारियों को गपशप करने का स्थान देता है|यह सीधे और त्वरित रूप से दर्शकों से जुड़ने और जनमत की निगरानी करने की अनुमति देता|SEC-3_U3_T3.8|30
18|आंतरिक जनसंपर्क (Internal PR) का मुख्य फोकस किस पर होता है?|केवल ग्राहकों पर|संगठन के कर्मचारियों, उनके मनोबल और संचार पर|सरकारी अधिकारियों पर|मीडिया पर|संगठन के कर्मचारियों, उनके मनोबल और संचार पर|SEC-3_U3_T3.8|30
19|'इवेंट मैनेजमेंट' (Event Management) जनसंपर्क में क्या भूमिका निभाता है?|केवल पैसा कमाना|लक्षित दर्शकों के साथ प्रत्यक्ष और यादगार बातचीत के अवसर प्रदान करना|केवल पार्टी आयोजित करना|सरकारी नियम तोड़ना|लक्षित दर्शकों के साथ प्रत्यक्ष और यादगार बातचीत के अवसर प्रदान करना|SEC-3_U3_T3.8|30
20|जनसंपर्क का कौन सा मॉडल एक तरफ़ा संचार (One-Way Communication) पर ध्यान केंद्रित करता है, जहाँ केवल सूचना का प्रसार होता है?|टू-वे सिमिट्रिकल मॉडल|प्रेस एजेंसी/पब्लिसिटी मॉडल|टू-वे असिमिट्रिकल मॉडल|सार्वजनिक सूचना मॉडल|प्रेस एजेंसी/पब्लिसिटी मॉडल|SEC-3_U3_T3.8|30
